SampleID	Size	Description	99%	97%	RA	latitude	longitude	type	order
SRR2955014	27095	gut metagenome	7	7	0.0258%	39.9833	-82.98329999	animal-associated	O3
SRR3132710	7039	human nasopharyngeal metagenome	0	56	0.7956%	missing	missing	animal-associated	O1
ERR1797591	119685	Homo sapiens	23	37	0.0309%	missing	missing	animal-associated	O1
ERR1797591	119685	Homo sapiens	23	37	0.0309%	missing	missing	animal-associated	O1
ERR2740641	59512	vaginal metagenome	14	14	0.0235%	missing	missing	animal-associated	O1
SRR3132711	11991	human nasopharyngeal metagenome	0	5	0.0417%	missing	missing	animal-associated	O1
SRR8293989	22375	skin metagenome	0	4	0.0179%	missing	missing	animal-associated	O1
SRR6075135	60987	gut metagenome	2	2	0.0033%	missing	missing	animal-associated	O1
SRR513043	67093	mouse gut metagenome	0	56	0.0835%	missing	missing	animal-associated	O2
SRR8596045	36956	coral metagenome	0	25	0.0676%	24.73	-81.02	animal-associated	O2
SRR3497419	10539	fish gut metagenome	4	4	0.0380%	36.68	121.15	animal-associated	O2
SRR3000454	5532	coral metagenome	0	3	0.0542%	24.0309	74.32391	animal-associated	O2
SRR3497402	16754	fish gut metagenome	3	3	0.0179%	36.68	121.15	animal-associated	O2
SRR8243126	142634	coral metagenome	0	2	0.0014%	43.77	7.68	animal-associated	O2
SRR8548119	14315	coral metagenome	0	8	0.0559%	24.546562	-81.406529	animal-associated	O3
SRR7077933	62664	fish metagenome	0	6	0.0096%	27.35	-82.54	animal-associated	O3
SRR8170726	41958	invertebrate metagenome	0	2	0.0048%	37.6	-75.69	animal-associated	O5
SRR7077898	122970	fish metagenome	0	6	0.0049%	27.32	-82.53	animal-associated	O5
SRR8170726	41958	invertebrate metagenome	0	2	0.0048%	37.6	-75.69	animal-associated	O5
SRR4244438	442843	gut metagenome	0	11	0.0025%	missing	missing	animal-associated	O1
SRR2846102	5861322	skin metagenome	0	7	0.0001%	7.928294	-78.195194	animal-associated	O1
SRR5330767	107161	gut metagenome	0	4	0.0037%	missing	missing	animal-associated	O1
ERR2740247	47742	pig gut metagenome	0	2	0.0042%	missing	missing	animal-associated	O1
ERR2740249	49061	pig gut metagenome	0	2	0.0041%	missing	missing	animal-associated	O1
SRR3132710	7039	human nasopharyngeal metagenome	0	56	0.7956%	missing	missing	animal-associated	O1
ERR2740641	59512	vaginal metagenome	0	14	0.0235%	missing	missing	animal-associated	O1
SRR3132711	11991	human nasopharyngeal metagenome	0	5	0.0417%	missing	missing	animal-associated	O1
SRR6075135	60987	gut metagenome	0	2	0.0033%	missing	missing	animal-associated	O1
SRR2059658	34654	hot springs metagenome	0	10	0.0289%	missing	missing	hydrothermal_system	O3
SRR2059628	35865	hot springs metagenome	0	890	2.4815%	missing	missing	hydrothermal_system	O1
SRR2059621	36431	hot springs metagenome	0	830	2.2783%	41.32096	-120.04372	hydrothermal_system	O1
SRR2059633	32039	hot springs metagenome	0	144	0.4495%	missing	missing	hydrothermal_system	O1
SRR2059658	34654	hot springs metagenome	0	24	0.0693%	missing	missing	hydrothermal_system	O1
SRR2059627	27887	hot springs metagenome	0	15	0.0538%	missing	missing	hydrothermal_system	O1
SRR2059439	37878	hot springs metagenome	6	6	0.0158%	40.40466	-119.21836	hydrothermal_system	O1
SRR2059631	31655	hot springs metagenome	0	6	0.0190%	missing	missing	hydrothermal_system	O1
SRR1575383	17506	hydrothermal vent metagenome	0	101	0.5769%	-13.59	-14.51	hydrothermal_system	O2
SRR1575382	13445	hydrothermal vent metagenome	0	49	0.3644%	-26.02	-13.85	hydrothermal_system	O2
SRR1786039	522538	hydrothermal vent metagenome	7	7	0.0013%	9.55	-13.18	hydrothermal_system	O2
SRR1575386	14697	hydrothermal vent metagenome	0	6	0.0408%	-2.4	-102.5	hydrothermal_system	O2
SRR1786045	570356	hydrothermal vent metagenome	0	3	0.0005%	4.8058	-12.3742	hydrothermal_system	O2
SRR1786034	558455	hydrothermal vent metagenome	0	2	0.0004%	9.55	-13.18	hydrothermal_system	O2
SRR364878	3473	hot springs metagenome	17	17	0.4895%	missing	missing	hydrothermal_system	O4
SRR900434	29343	hot springs metagenome	0	5	0.0170%	44.29068	-110.50983	hydrothermal_system	O4
SRR900432	11050	hot springs metagenome	0	3	0.0271%	44.29068	-110.50983	hydrothermal_system	O4
SRR900432	11050	hot springs metagenome	0	3	0.0271%	44.29068	-110.50983	hydrothermal_system	O4
SRR1786045	570356	hydrothermal vent metagenome	8	8	0.0014%	4.8058	-12.3742	hydrothermal_system	O6
SRR1786040	1373626	hydrothermal vent metagenome	0	2	0.0001%	9.55	-13.18	hydrothermal_system	O6
SRR1786040	1373626	hydrothermal vent metagenome	0	29	0.0021%	9.55	-13.18	hydrothermal_system	O3
