MAGs	Order
ZMQR_201803_bins_22	F1
JZ4_201709_bins_165	F1
JZ2_201912_bins_68	F1
JZ2_201808_bins_10	F1
JZ2_201907_bins_186	F1
JZ2_202101_bins_52	F1
JZ4_201803_bins_290	F1
JZ2_201901_bins_130	F1
JZ2_202007_bins_144	F1
JZ1_202101_bins_37	F1
JZ4_201808_bins_213	F1
GCA_013359425.1	F1
GCA_003576975.1	F1
GCA_014338045.1	F1
GCA_013359385.1	F1
GCA_008363195.1	F1
GCA_011047125.1	F1
JZ2_202007_bins_101	F1
JZ1_202101_bins_107	F1
JZ2_202101_bins_2	F1
JZ4_201709_bins_45	F1
JZ4_201803_bins_110	F1
JZ4_201808_bins_140	F1
GCA_011375275.1	F2
GCA_015485525.1	F2
GCA_015487885.1	F2
GCA_015492145.1	F2
GCA_015490415.1	F2
GCA_015491795.1	F2
GCA_008501765.1	F2
GCA_015485555.1	F2
GCA_015493075.1	F2
GCA_015491485.1	F2
GCA_015488025.1	F2
GCA_015490205.1	F2
GCA_015492895.1	F2
GCA_016928635.1	O2
GCA_016929295.1	O2
GCA_016928775.1	O2
SRBZ_201705_bins_74	O2
DPZ2_202101_bins_149	O2
GCA_003818595.1	O2
GCA_016934825.1	O2
GCA_011682565.1	O2
GCA_013152225.1	O2
GCA_001771235.1	O2
GCA_002327255.1	O2
GCA_012523655.1	O2
GCA_016929055.1	O2
GCA_014728115.1	O2
GCA_014728085.1	O2
SZTDM2_201709_bins_136	O3
JZ2_201705_bins_85	O3
JZ2_201907_bins_62	O3
JZ2_201808_bins_48	O3
JZ4_201808_bins_132	O3
GCA_014359355.1	O3
GCA_011389025.1	O3
JZ2_201709_bins_23	O3
GCA_013152765.1	O3
JZ4_201709_bins_129	O4
JZ4_201808_bins_206	O4
JZ2_201705_bins_219	O4
JZ4_201803_bins_238	O4
JZ4_201803_bins_154	O4
GCA_011046315.1	O4
GCA_016783825.1	O4
GCA_014729735.1	O4
GCA_016931935.1	O4
GCA_016926625.1	O4
GCA_016927835.1	O4
GCA_004356135.1	O5
GCA_004356825.1	O5
GCA_011774205.1	O5
GCA_011777055.1	O5
