	ZMQR_201803_bins_22	JZ4_201709_bins_165	JZ2_201912_bins_68	JZ2_201808_bins_10	JZ2_201907_bins_186	JZ2_202101_bins_52	JZ4_201803_bins_290	JZ2_201901_bins_130	JZ2_202007_bins_144	JZ1_202101_bins_37	JZ4_201808_bins_213	GCA_013359425.1	GCA_003576975.1	GCA_014338045.1	GCA_013359385.1	GCA_008363195.1	GCA_011047125.1	JZ2_202007_bins_101	JZ1_202101_bins_107	JZ2_202101_bins_2	JZ4_201709_bins_45	JZ4_201803_bins_110	JZ4_201808_bins_140	GCA_011375275.1	GCA_015485525.1	GCA_015487885.1	GCA_015492145.1	GCA_015490415.1	GCA_015491795.1	GCA_008501765.1	GCA_015485555.1	GCA_015493075.1	GCA_015491485.1	GCA_015488025.1	GCA_015490205.1	GCA_015492895.1	GCA_004356135.1	GCA_004356825.1	GCA_011774205.1	GCA_011777055.1	GCA_016928635.1	GCA_016929295.1	GCA_016928775.1	SRBZ_201705_bins_74	DPZ2_202101_bins_149	GCA_003818595.1	GCA_016934825.1	GCA_011682565.1	GCA_013152225.1	GCA_001771235.1	GCA_002327255.1	GCA_012523655.1	GCA_016929055.1	GCA_014728115.1	GCA_014728085.1	SZTDM2_201709_bins_136	JZ2_201705_bins_85	JZ2_201907_bins_62	JZ2_201808_bins_48	JZ4_201808_bins_132	GCA_014359355.1	GCA_011389025.1	JZ2_201709_bins_23	GCA_013152765.1	JZ4_201709_bins_129	JZ4_201808_bins_206	JZ2_201705_bins_219	JZ4_201803_bins_238	JZ4_201803_bins_154	GCA_011046315.1	GCA_016783825.1	GCA_014729735.1	GCA_016931935.1	GCA_016926625.1	GCA_016927835.1
ZMQR_201803_bins_22	100	99.9733	99.9724	99.9756	99.9667	99.9719	99.9717	99.9733	99.9771	99.976	99.9729	84.1292	74.2447	74.2638	74.3541	74.3733	69.9355	70.604	70.6786	70.699	69.6924	69.5928	69.7417	66.1963	66.3325	66.1747	66.134	66.0142	66.3359	63.6681	66.9935	66.8452	66.7447	66.8504	66.8306	65.8495	64.5095	64.4939	65.2177	65.2177	64.4856	64.1649	63.2429	64.8612	65.1236	63.519	63.0652	63.1182	63.2395	64.104	65.0455	64.6856	63.9583	62.8736	63.2198	64.7896	64.8466	64.8485	64.9672	65.0372	64.9981	64.7558	65.0991	65.0967	63.9403	63.9426	63.9539	63.7273	64.1084	63.4826	62.7373	63.2176	63.3421	63.2734	63.5314
JZ4_201709_bins_165	99.9733	100	99.9932	99.9948	99.998	99.996	99.9972	99.9992	99.997	99.9963	99.9982	83.9807	74.2293	74.3025	74.4651	74.4729	70.1212	70.7614	70.9201	70.8996	69.7456	69.7533	69.8652	66.4144	66.0643	66.0773	66.1089	66.1224	66.1849	63.7611	66.9844	66.8549	66.6696	66.885	66.9844	66.0173	64.5732	64.4379	65.3064	65.3064	64.1131	63.9134	63.2923	64.8143	65.0887	63.4356	62.9551	63.1824	63.2458	63.936	65.0488	64.7107	63.8292	62.8998	63.1269	64.5454	64.8832	64.7633	64.7437	64.8114	64.9659	64.7525	64.8306	65.1461	63.8563	63.8219	63.9961	63.6792	64.3764	63.4413	62.5938	63.2705	63.3797	63.4866	63.3843
JZ2_201912_bins_68	99.9724	99.9932	100	99.9955	99.9953	99.9982	99.9985	99.9981	99.9964	99.9947	99.9977	84.0921	74.2025	74.4283	74.3822	74.389	70.0542	70.6498	70.9212	70.9339	69.7679	69.7229	69.7807	66.4881	66.0469	66.2504	66.1099	66.217	66.3003	63.7491	66.94	66.7867	66.7738	66.8571	67.0179	65.9983	64.5419	64.3819	64.9963	64.9963	64.2253	64.0646	63.3845	64.8559	65.0885	63.4235	62.8154	63.2831	63.298	63.9372	64.9617	64.7177	63.8442	62.8817	63.2297	64.6798	64.8269	64.9133	64.8112	64.971	64.9688	64.7864	64.7073	65.0135	63.797	63.819	63.8664	63.7024	64.1996	63.56	62.7441	63.3144	63.4673	63.2808	63.4029
JZ2_201808_bins_10	99.9756	99.9948	99.9955	100	99.9931	99.9957	99.9949	99.9982	99.995	99.995	99.9966	84.0913	74.1956	74.3657	74.448	74.3974	70.0269	70.8126	70.9626	70.9052	69.7861	69.7656	69.6772	66.3734	66.3142	66.1328	66.1428	66.3428	66.2496	63.841	67.0188	66.8574	66.6779	66.8984	66.9046	65.8707	64.4225	64.3471	65.2066	65.2066	64.377	63.7506	63.2622	64.7882	64.8981	63.2747	62.9013	63.1642	63.2924	63.9763	65.0416	64.7584	63.9594	62.8694	63.1437	64.9087	64.8584	64.7553	64.9251	64.7612	65.1006	64.9003	64.7184	65.253	63.9972	63.9715	63.9678	63.6994	64.2324	63.4654	62.8328	63.3096	63.2999	63.5409	63.4536
JZ2_201907_bins_186	99.9667	99.998	99.9953	99.9931	100	99.9985	99.9985	99.999	99.9972	99.9959	99.9996	84.1039	74.1713	74.2805	74.414	74.3199	70.0728	70.7843	71.0346	71.035	69.9217	69.6899	69.7626	66.2831	66.2065	66.1813	66.0859	66.2478	66.2951	63.7408	66.9352	66.7264	66.7669	66.7944	66.9805	65.8744	64.3526	64.4006	65.2526	65.2526	64.2016	63.8326	63.3476	64.7488	65.0378	63.2344	62.8988	63.1387	63.1645	64.0168	65.0926	64.7411	63.7165	62.7929	63.0736	64.5762	64.6891	64.716	64.7549	64.8711	64.8467	64.5779	64.7145	65.1029	63.7736	63.8233	63.9222	63.6859	64.2471	63.3932	62.6046	63.0918	63.3817	63.3758	63.3263
JZ2_202101_bins_52	99.9719	99.996	99.9982	99.9957	99.9985	100	99.997	99.9965	99.9962	99.9941	99.9987	84.0097	74.2378	74.2479	74.353	74.398	69.9382	70.7223	70.8015	70.9088	69.8715	69.7162	69.8417	66.3129	66.3732	66.0804	66.1205	66.2391	66.3351	63.7539	67.0649	66.7871	66.784	66.8219	66.8379	65.881	64.2823	64.2194	65.1623	65.1623	64.3107	63.824	63.2926	64.8926	65.077	63.556	62.9425	63.1513	63.2611	64.1467	65.1501	64.6383	63.8497	62.869	63.2021	64.7617	64.7409	64.7618	64.8436	64.9478	65.0752	64.6421	64.7308	65.0808	63.9969	63.9343	63.9489	63.822	64.074	63.4707	62.6799	63.2313	63.3646	63.2919	63.4584
JZ4_201803_bins_290	99.9717	99.9972	99.9985	99.9949	99.9985	99.997	100	99.9948	99.9945	99.9957	99.9993	84.0822	74.2281	74.311	74.3907	74.3921	69.9418	70.6848	70.8881	70.8929	69.8648	69.5477	69.7371	66.3849	66.3923	66.2259	66.1595	66.1293	66.3348	63.7181	66.9426	66.7182	66.6454	66.7839	66.9313	65.7339	64.4592	64.4311	65.2464	65.2464	64.2499	63.9838	63.3732	64.9345	65.2752	63.4541	62.957	63.1086	63.3638	64.263	65.1026	64.6712	63.8103	62.9142	63.1966	64.6563	64.8164	64.7822	64.8301	64.7687	64.9941	64.7873	64.8175	65.2132	63.9239	63.9057	63.9355	63.6867	64.2413	63.3007	62.7446	63.2247	63.1806	63.3741	63.4802
JZ2_201901_bins_130	99.9733	99.9992	99.9981	99.9982	99.999	99.9965	99.9948	100	99.9999	99.9978	99.9955	84.0367	74.2968	74.2812	74.4335	74.3849	70.0079	70.6993	70.8441	70.8614	69.8411	69.648	69.8099	66.1895	66.1919	66.0778	66.0876	66.1631	66.2774	63.8188	66.9384	66.7175	66.6577	66.8394	66.8153	65.8862	64.3332	64.3961	65.1697	65.1697	64.2619	64.0381	63.4253	65.0552	65.2929	63.4347	62.8955	63.216	63.3386	64.0635	65.0237	64.6924	63.8133	62.972	63.1021	64.5979	64.8372	64.6127	64.9007	64.8107	65.1139	64.7965	64.7386	65.2713	63.9024	63.8798	63.9205	63.7651	63.9942	63.3768	62.5946	63.2515	63.3618	63.3079	63.589
JZ2_202007_bins_144	99.9771	99.997	99.9964	99.995	99.9972	99.9962	99.9945	99.9999	100	99.9964	99.9932	84.1467	74.2576	74.3988	74.393	74.3179	69.9761	70.7222	70.8129	70.8484	69.8987	69.7117	69.8335	66.305	66.3243	66.0527	66.1225	65.9875	66.2531	63.7914	67.0663	66.8134	66.7384	66.9093	66.9186	65.7646	64.4915	64.4081	65.1904	65.1904	64.3743	64.026	63.1592	64.9734	65.1261	63.5314	62.9056	63.0668	63.2681	63.9403	65.04	64.624	63.8708	62.9382	63.303	64.8187	64.7137	64.6149	64.8399	64.7757	65.1687	64.8445	64.7755	65.2668	63.9234	63.9225	63.8692	63.7793	64.0892	63.3483	62.6441	63.0462	63.486	63.2341	63.4204
JZ1_202101_bins_37	99.976	99.9963	99.9947	99.995	99.9959	99.9941	99.9957	99.9978	99.9964	100	99.997	84.11	74.2055	74.3282	74.2491	74.2555	70.0507	70.5665	70.7024	70.7158	69.6075	69.5902	69.6665	66.2182	66.155	66.1375	65.9552	66.0554	66.2682	63.5885	67.0589	66.8038	66.6575	66.8286	66.9461	65.8507	64.3437	64.4261	65.312	65.312	64.4193	63.843	63.2702	64.7377	65.0224	63.7391	62.8744	63.2493	63.2639	63.9113	64.8307	64.7471	63.8317	62.9385	63.0515	64.6331	64.6803	64.7816	64.7773	64.7571	65.0571	64.8422	64.6307	64.9287	64.0821	63.9972	63.8521	63.7042	64.2867	63.4866	62.6931	63.1364	63.3801	63.2992	63.4375
