MAGs	Size	GC	Order	Source
JZ1_202101_bins_107	5865435	53.41	O1	Hot spring
JZ1_202101_bins_37	5827949	60.12	O1	Hot spring
JZ2_201808_bins_10	5906968	60.06	O1	Hot spring
JZ2_201901_bins_130	5955707	60.04	O1	Hot spring
JZ2_201907_bins_186	5903039	60.04	O1	Hot spring
JZ2_201912_bins_68	5751944	60.04	O1	Hot spring
JZ2_202007_bins_101	5857296	53.41	O1	Hot spring
JZ2_202007_bins_144	5856860	60.07	O1	Hot spring
JZ2_202101_bins_2	5989938	53.36	O1	Hot spring
JZ2_202101_bins_52	5852548	60.05	O1	Hot spring
JZ4_201709_bins_165	5640467	60	O1	Hot spring
JZ4_201709_bins_45	5943506	51.39	O1	Hot spring
JZ4_201803_bins_110	5713613	51.37	O1	Hot spring
JZ4_201803_bins_290	6005874	59.94	O1	Hot spring
JZ4_201808_bins_140	5897230	51.39	O1	Hot spring
JZ4_201808_bins_213	5894752	60.07	O1	Hot spring
ZMQR_201803_bins_22	5589360	60.22	O1	Hot spring
GCA_015492895.1	3557591	52.45	O1	Hydrothermal vent
GCA_011375275.1	4028935	54.84	O1	Hydrothermal vent
GCA_015492145.1	4912437	54.39	O1	Hydrothermal vent
GCA_015491795.1	4949332	54.34	O1	Hydrothermal vent
GCA_015487885.1	4891862	54.32	O1	Hydrothermal vent
GCA_015485525.1	4553255	54.46	O1	Hydrothermal vent
GCA_015490415.1	4693264	54.4	O1	Hydrothermal vent
GCA_008501765.1	5917398	43.05	O1	Bioreactor
GCA_015485555.1	5025588	53.83	O1	Hydrothermal vent
GCA_015488025.1	4901846	53.84	O1	Hydrothermal vent
GCA_015491485.1	4446939	53.44	O1	Hydrothermal vent
GCA_015493075.1	4847308	53.8	O1	Hydrothermal vent
GCA_015490205.1	4685342	53.44	O1	Hydrothermal vent
GCA_011047125.1	6246268	52.83	O1	Hot spring
GCA_008363195.1	7159421	53.05	O1	Bioreactor
GCA_003576975.1	7248468	52.87	O1	Bioreactor
GCA_014338045.1	6960637	52.97	O1	Bioreactor
GCA_013359385.1	7045651	53.31	O1	Bioreactor
GCA_013359425.1	7052599	59.33	O1	Bioreactor
DPZ2_202101_bins_149	3181608	53.71	O2	Hot spring
SRBZ_201705_bins_74	3727513	53.58	O2	Hot spring
GCA_001771235.1	3937874	47.72	O2	Others
GCA_012523655.1	4808431	55.3	O2	Others
GCA_002327255.1	4200013	56.22	O2	Others
GCA_016929055.1	4046472	52.42	O2	Others
GCA_014728115.1	6960450	46	O2	Others
GCA_014728085.1	5189837	45.97	O2	Others
GCA_011682565.1	4373136	44.39	O2	Hydrothermal vent
GCA_013152225.1	4891513	44.14	O2	Hydrothermal vent
GCA_016934825.1	5391025	41.75	O2	Others
GCA_003818595.1	4816135	48.02	O2	Others
GCA_016928775.1	5997843	46.84	O2	Others
GCA_016928635.1	3460858	52.6	O2	Others
GCA_016929295.1	4343692	50.8	O2	Others
JZ2_201705_bins_85	3702765	59.85	O3	Hot spring
JZ2_201709_bins_23	3411971	62.27	O3	Hot spring
JZ2_201808_bins_48	3062127	59.87	O3	Hot spring
JZ2_201907_bins_62	2936451	59.94	O3	Hot spring
JZ4_201808_bins_132	2946788	59.95	O3	Hot spring
SZTDM2_201709_bins_136	3479748	59.82	O3	Hot spring
GCA_014359355.1	3786951	61.34	O3	Others
GCA_011389025.1	3584466	62.33	O3	Hot spring
GCA_013152765.1	3488877	60.26	O3	Hydrothermal vent
JZ2_201705_bins_219	5563722	45.94	O4	Hot spring
JZ4_201709_bins_129	4652066	45.68	O4	Hot spring
JZ4_201803_bins_154	4157021	47.62	O4	Hot spring
JZ4_201803_bins_238	4307244	45.79	O4	Hot spring
JZ4_201808_bins_206	4322460	45.69	O4	Hot spring
GCA_016783825.1	4536896	37.25	O4	Others
GCA_011046315.1	4110078	43.28	O4	Hot spring
GCA_016931935.1	7894986	42.43	O4	Others
GCA_016926625.1	3611166	44.37	O4	Others
GCA_014729735.1	4842997	42.84	O4	Others
GCA_016927835.1	7579817	46.01	O4	Others
GCA_004356135.1	6337027	46.97	O5	Marine
GCA_004356825.1	6337027	46.97	O5	Marine
GCA_011774205.1	4364253	44.53	O5	Marine
GCA_011777055.1	3324124	44.26	O5	Marine
