	ZMQR_201803_bins_22	JZ4_201709_bins_165	JZ2_201912_bins_68	JZ2_201808_bins_10	JZ2_201907_bins_186	JZ2_202101_bins_52	JZ4_201803_bins_290	JZ2_201901_bins_130	JZ2_202007_bins_144	JZ1_202101_bins_37	JZ4_201808_bins_213	GCA_013359425.1	GCA_003576975.1	GCA_014338045.1	GCA_013359385.1	GCA_008363195.1	GCA_011047125.1	JZ2_202007_bins_101	JZ1_202101_bins_107	JZ2_202101_bins_2	JZ4_201709_bins_45	JZ4_201803_bins_110	JZ4_201808_bins_140	GCA_011375275.1	GCA_015485525.1	GCA_015487885.1	GCA_015492145.1	GCA_015490415.1	GCA_015491795.1	GCA_008501765.1	GCA_015485555.1	GCA_015493075.1	GCA_015491485.1	GCA_015488025.1	GCA_015490205.1	GCA_015492895.1	GCA_004356135.1	GCA_004356825.1	GCA_011774205.1	GCA_011777055.1	GCA_016928635.1	GCA_016929295.1	GCA_016928775.1	SRBZ_201705_bins_74	DPZ2_202101_bins_149	GCA_003818595.1	GCA_016934825.1	GCA_011682565.1	GCA_013152225.1	GCA_001771235.1	GCA_002327255.1	GCA_012523655.1	GCA_016929055.1	GCA_014728115.1	GCA_014728085.1	SZTDM2_201709_bins_136	JZ2_201705_bins_85	JZ2_201907_bins_62	JZ2_201808_bins_48	JZ4_201808_bins_132	GCA_014359355.1	GCA_011389025.1	JZ2_201709_bins_23	GCA_013152765.1	JZ4_201709_bins_129	JZ4_201808_bins_206	JZ2_201705_bins_219	JZ4_201803_bins_238	JZ4_201803_bins_154	GCA_011046315.1	GCA_016783825.1	GCA_014729735.1	GCA_016931935.1	GCA_016926625.1	GCA_016927835.1
ZMQR_201803_bins_22	100	99.919625	99.950726	99.935823	99.93832	99.939274	99.938898	99.93975	99.940267	99.95371	99.93849	85.560364	74.051566	74.148283	74.13661	74.206915	63.736874	64.654709	64.689828	64.693931	64.099905	63.924084	64.01064	57.26248	57.091142	57.057281	57.006042	57.182635	57.00379	54.871042	58.293719	58.347793	58.124074	58.409375	58.313577	58.2242	57.075159	56.545056	57.235325	57.235325	53.096849	53.360807	53.458718	53.906873	54.107197	53.164662	53.174777	53.746516	53.661272	53.713183	53.844182	53.747775	53.222737	52.822297	52.93948	54.756102	54.590443	54.720314	54.566549	54.753428	54.84846	54.590848	54.802963	55.174847	54.856705	54.774469	54.57844	54.747239	54.608376	53.577651	53.525238	54.18625	53.652125	54.283855	53.456504
JZ4_201709_bins_165	99.919625	100	99.966489	99.988495	99.984678	99.979919	99.990116	99.982088	99.980864	99.966563	99.993833	85.48758	74.191601	74.19868	74.289391	74.26745	64.110454	65.048188	65.18792	65.24364	64.382961	64.164356	64.347821	57.200441	57.027024	57.033186	57.013201	57.140113	57.001661	54.921805	58.34432	58.354437	58.184352	58.427684	58.362331	58.102206	56.996206	56.522442	57.280669	57.280669	53.045041	53.172599	53.388857	53.877191	54.084422	53.172988	53.100386	53.702392	53.627203	53.761366	53.746498	53.695747	53.191164	52.727867	52.853389	54.590215	54.465029	54.643788	54.526047	54.643757	54.703524	54.554949	54.748936	55.152855	54.916571	54.743283	54.618994	54.786864	54.683213	53.585747	53.459023	54.211862	53.651798	54.287051	53.3593
JZ2_201912_bins_68	99.950726	99.966489	100	99.97277	99.973703	99.97739	99.986119	99.977991	99.977325	99.990314	99.986481	85.503946	74.128595	74.195972	74.2958	74.248039	64.008105	64.959785	65.108564	65.167727	64.38338	64.126215	64.308109	57.219504	57.043256	57.045314	57.024253	57.159859	56.995816	54.948886	58.311522	58.340443	58.161042	58.392679	58.333899	58.064097	56.967207	56.466667	57.222321	57.222321	53.039892	53.206752	53.360249	53.824638	54.047201	53.275243	53.127497	53.635655	53.627893	53.794331	53.831269	53.711148	53.226645	52.760253	52.815798	54.66226	54.533869	54.663766	54.583047	54.705168	54.76946	54.642857	54.852926	55.148667	54.894413	54.760151	54.671799	54.83942	54.642513	53.585297	53.442962	54.280437	53.620994	54.298833	53.417978
JZ2_201808_bins_10	99.935823	99.988495	99.97277	100	99.990025	99.991632	99.99013	99.990527	99.988707	99.974768	99.98973	85.497855	74.134167	74.162019	74.276612	74.223155	64.018366	64.937231	65.076839	65.112375	64.412159	64.077577	64.233856	57.220354	57.015462	57.023011	56.994122	57.141158	56.978562	54.908382	58.262424	58.293827	58.125065	58.341452	58.293738	58.05	56.925869	56.481363	57.218573	57.218573	52.996026	53.18706	53.342801	53.837707	54.046494	53.207527	53.081102	53.62538	53.596013	53.713863	53.753485	53.634834	53.161207	52.714519	52.821647	54.584434	54.441044	54.562016	54.510847	54.604343	54.672905	54.5367	54.746816	55.104475	54.8507	54.72371	54.599915	54.787	54.594607	53.564644	53.413709	54.186559	53.635762	54.261636	53.363516
JZ2_201907_bins_186	99.93832	99.984678	99.973703	99.990025	100	99.993378	99.988387	99.997381	99.995342	99.970271	99.989212	85.499492	74.124713	74.175177	74.300324	74.236002	64.013529	64.936522	65.079245	65.132869	64.428919	64.074376	64.234175	57.197799	57.005	57.013386	56.984079	57.130665	56.968609	54.902266	58.276121	58.29705	58.125	58.355392	58.293168	58.068862	56.923006	56.478836	57.21593	57.21593	52.99702	53.186307	53.346927	53.836935	54.044588	53.19378	53.078942	53.610539	53.580947	53.715047	53.76638	53.635906	53.167115	52.716452	52.820883	54.587002	54.443391	54.563775	54.511921	54.612185	54.673277	54.53325	54.746816	55.110633	54.855556	54.721379	54.604131	54.78765	54.599899	53.55584	53.414636	54.189687	53.634491	54.26303	53.366977
JZ2_202101_bins_52	99.939274	99.979919	99.97739	99.991632	99.993378	100	99.985362	99.994734	99.991713	99.973985	99.985948	85.512193	74.123709	74.18756	74.291675	74.247788	64.016814	64.941162	65.087635	65.168526	64.311321	64.06787	64.229426	57.193583	57.001704	57.013163	56.978705	57.127358	56.965408	54.886846	58.29778	58.318908	58.157296	58.377091	58.316119	58.089292	56.930789	56.484901	57.216365	57.216365	52.993377	53.198805	53.33743	53.836494	54.044465	53.195084	53.082162	53.618897	53.596976	53.720888	53.766987	53.636549	53.167438	52.72997	52.811627	54.584084	54.441571	54.563775	54.51113	54.605429	54.666419	54.538789	54.752821	55.130765	54.84781	54.717691	54.597917	54.784066	54.6063	53.551556	53.412401	54.197274	53.643	54.261636	53.352691
JZ4_201803_bins_290	99.938898	99.990116	99.986119	99.99013	99.988387	99.985362	100	99.990089	99.98809	99.971386	99.997015	85.494269	74.128392	74.182489	74.301814	74.242914	64.039752	64.93787	65.081709	65.128645	64.415039	64.073625	64.230955	57.196069	57.004167	57.017053	56.983278	57.129799	56.967848	54.904462	58.288781	58.298955	58.127075	58.357353	58.295183	58.056133	56.923006	56.478836	57.2267	57.2267	52.997947	53.183354	53.353073	53.83677	54.044219	53.19366	53.089189	53.61171	53.557258	53.699882	53.759909	53.649196	53.160075	52.730872	52.821865	54.585954	54.441858	54.563775	54.51113	54.605429	54.666884	54.53235	54.758098	55.108841	54.852239	54.725347	54.610945	54.78885	54.595161	53.555284	53.413974	54.191483	53.634776	54.262545	53.366585
JZ2_201901_bins_130	99.93975	99.982088	99.977991	99.990527	99.997381	99.994734	99.990089	100	99.997143	99.972083	99.989418	85.493831	74.124602	74.17856	74.30512	74.23918	64.018522	64.938479	65.082308	65.132597	64.420523	64.073589	64.234902	57.196069	57.004167	57.016523	56.983278	57.129799	56.967848	54.904825	58.275697	58.29662	58.124546	58.354963	58.292727	58.068862	56.923006	56.478836	57.216365	57.216365	52.996887	53.184987	53.34581	53.836273	54.04385	53.19366	53.077322	53.611944	53.579978	53.713507	53.759808	53.63651	53.160075	52.720743	52.820883	54.58501	54.441571	54.563775	54.51113	54.611384	54.671881	54.53295	54.746816	55.110633	54.854715	54.720486	54.603365	54.78675	54.59889	53.555284	53.413179	54.190209	53.634015	54.261636	53.353421
JZ2_202007_bins_144	99.940267	99.980864	99.977325	99.988707	99.995342	99.991713	99.98809	99.997143	100	99.973483	99.984894	85.517971	74.144916	74.193997	74.306971	74.24971	64.017297	64.903075	65.051323	65.102299	64.396238	64.083048	64.205518	57.199921	57.007088	57.019715	56.986005	57.132732	56.97061	54.886478	58.313564	58.33467	58.16429	58.395726	58.332649	58.089129	56.936796	56.491192	57.22337	57.22337	52.99596	53.196918	53.331397	53.836218	54.043604	53.194844	53.080919	53.620892	53.597732	53.6956	53.759909	53.638264	53.160075	52.751443	52.813592	54.576943	54.422457	54.557	54.504422	54.599197	54.66833	54.539439	54.750731	55.114833	54.845946	54.725347	54.599106	54.78885	54.600151	53.555451	53.413974	54.200348	53.644852	54.262545	53.361753
JZ1_202101_bins_37	99.95371	99.966563	99.990314	99.974768	99.970271	99.973985	99.971386	99.972083	99.973483	100	99.971253	85.496742	74.079572	74.125209	74.240888	74.192356	63.9363	64.740156	64.867547	64.879368	64.206766	64.040544	64.117285	57.170774	56.978033	56.991051	56.958546	57.108142	56.943019	54.89967	58.258389	58.28161	58.097191	58.334123	58.257292	58.014763	56.911475	56.455792	57.235974	57.235974	52.977285	53.183417	53.337891	53.820673	54.043481	53.216567	53.082321	53.632432	53.62419	53.692482	53.776771	53.644576	53.169558	52.75295	52.829008	54.588708	54.438091	54.566392	54.506207	54.628481	54.714427	54.560582	54.759634	55.11068	54.845154	54.710357	54.583049	54.77958	54.597331	53.541036	53.425731	54.178513	53.627008	54.282199	53.36056
