MAGs	gene	start	end	Length	S	E	strand	orientation	contig
JZ2_202007_bins_101	rbcL	73076	74527	1451	50	1501	1	1	JZ-2_202007_bins_101_scaffold_30
JZ2_202007_bins_101	rbcS	74565	74993	428	1539	1967	1	1	JZ-2_202007_bins_101_scaffold_30
JZ2_202007_bins_101	cbbX	75002	75934	932	1976	2908	1	1	JZ-2_202007_bins_101_scaffold_30
JZ2_202007_bins_101	PRK	75948	76925	977	2922	3899	1	1	JZ-2_202007_bins_101_scaffold_30
JZ2_202007_bins_101	transketolase	173	2287	2114	3999	6113	1	1	JZ-2_202007_bins_101_scaffold_20_2
JZ2_202007_bins_101	fructose-bisphosphate aldolase	25675	26742	1067	6213	7280	1	1	JZ-2_202007_bins_101_scaffold_22_25
JZ2_202007_bins_101	fructose-bisphosphatase	167498	168505	1007	7380	8387	1	1	JZ-2_202007_bins_101_scaffold_5_137
JZ2_202007_bins_101	ribulose-phosphate 3-epimerase	25923	26612	689	8487	9176	1	1	JZ-2_202007_bins_101_scaffold_37_30
JZ2_202007_bins_101	transaldolase	14208	14858	650	9276	9926	1	1	JZ-2_202007_bins_101_scaffold_18_22
JZ1_202101_bins_107	rbcL	2602	4053	1451	50	1501	1	-1	JZ-1_202101_bins_107_scaffold_26
JZ1_202101_bins_107	rbcS	2136	2564	428	1539	1967	1	-1	JZ-1_202101_bins_107_scaffold_26
JZ1_202101_bins_107	cbbX	1195	2127	932	1976	2908	1	-1	JZ-1_202101_bins_107_scaffold_26
JZ1_202101_bins_107	PRK	204	1181	977	2922	3899	1	-1	JZ-1_202101_bins_107_scaffold_26
JZ1_202101_bins_107	transketolase	103609	105723	2114	3999	6113	1	1	JZ-1_202101_bins_107_scaffold_18_99 
JZ1_202101_bins_107	fructose-bisphosphate aldolase	10207	11274	1067	6213	7280	1	1	JZ-1_202101_bins_107_scaffold_57_9
JZ1_202101_bins_107	fructose-bisphosphatase	4262	5269	1007	7380	8387	1	1	JZ-1_202101_bins_107_scaffold_14_4
JZ1_202101_bins_107	ribulose-phosphate 3-epimerase	40427	41116	689	8487	9176	1	1	JZ-1_202101_bins_107_scaffold_31_36
JZ1_202101_bins_107	transaldolase	14895	15545	650	9276	9926	1	1	JZ-1_202101_bins_107_scaffold_16_24
JZ2_202101_bins_2	rbcL	2623	4074	1451	50	1501	1	-1	JZ-2_202101_bins_2_scaffold_29_4
JZ2_202101_bins_2	rbcS	2157	2585	428	1539	1967	1	-1	JZ-2_202101_bins_2_scaffold_29_3
JZ2_202101_bins_2	cbbX	1216	2148	932	1976	2908	1	-1	JZ-2_202101_bins_2_scaffold_29_2
JZ2_202101_bins_2	PRK	225	1202	977	2922	3899	1	-1	JZ-2_202101_bins_2_scaffold_29_1
JZ2_202101_bins_2	transketolase	103543	105657	2114	3999	6113	1	1	JZ-2_202101_bins_2_scaffold_19_99
JZ2_202101_bins_2	fructose-bisphosphate aldolase	69713	70780	1067	6213	7280	1	1	JZ-2_202101_bins_2_scaffold_21_73
JZ2_202101_bins_2	fructose-bisphosphatase	4344	5351	1007	7380	8387	1	1	JZ-2_202101_bins_2_scaffold_5_5
JZ2_202101_bins_2	ribulose-phosphate 3-epimerase	26165	26854	689	8487	9176	1	1	JZ-2_202101_bins_2_scaffold_37_31
JZ2_202101_bins_2	transaldolase	95587	96237	650	9276	9926	1	1	JZ-2_202101_bins_2_scaffold_16_87
GCA_011375275.1	rbcL	4616	6073	1457	50	1507	1	1	DRLW01000668.1_2
GCA_011375275.1	rbcS	6186	6485	299	1620	1919	1	1	DRLW01000668.1_3
GCA_011375275.1	PRK	6510	7475	965	1944	2909	1	1	DRLW01000668.1_4
GCA_011375275.1	transketolase	7462	8433	971	2896	3867	1	1	DRLW01000668.1_5
GCA_011375275.1	transketolase	1	1455	1454	3967	5421	1	1	DRLW01000198.1_1
GCA_011375275.1	fructose-bisphosphate aldolase	1677	2645	968	5643	6611	1	1	DRLW01000198.1_2
GCA_011375275.1	fructose-bisphosphatase	2648	3661	1013	6614	7627	1	1	DRLW01000198.1_3
GCA_011375275.1	transaldolase	755	1408	653	7727	8380	1	1	DRLW01000118.1_2
GCA_015485525.1	rbcL	6073	7530	1457	50	1507	1	-1	WFTM01000053.1_7
GCA_015485525.1	rbcS	5663	5962	299	1618	1917	1	-1	WFTM01000053.1_6
GCA_015485525.1	PRK	4673	5638	965	1942	2907	1	-1	WFTM01000053.1_5
GCA_015485525.1	transketolase	2608	4686	2078	2894	4972	1	-1	WFTM01000053.1_4
GCA_015485525.1	fructose-bisphosphate aldolase	1418	2386	968	5194	6162	1	-1	WFTM01000053.1_3
GCA_015485525.1	fructose-bisphosphatase	402	1415	1013	6165	7178	1	-1	WFTM01000053.1_2
GCA_015485525.1	ribulose-phosphate 3-epimerase	3	209	206	7371	7577	1	-1	WFTM01000053.1_1
GCA_015485525.1	transaldolase	5453	6106	653	7677	8330	1	1	WFTM01000129.1_8
GCA_015487885.1	rbcL	10546	12003	1457	50	1507	1	1	WFOU01000258.1_3
GCA_015487885.1	rbcS	12114	12413	299	1618	1917	1	1	WFOU01000258.1_4
GCA_015487885.1	PRK	12438	13403	965	1942	2907	1	1	WFOU01000258.1_5
GCA_015487885.1	transketolase	13390	15468	2078	2894	4972	1	1	WFOU01000258.1_6
GCA_015487885.1	fructose-bisphosphate aldolase	15690	16658	968	5194	6162	1	1	WFOU01000258.1_7
GCA_015487885.1	fructose-bisphosphatase	16661	17674	1013	6165	7178	1	1	WFOU01000258.1_8
GCA_015487885.1	ribulose-phosphate 3-epimerase	17867	18538	671	7371	8042	1	1	WFOU01000258.1_9
GCA_015487885.1	transaldolase	18557	19162	605	8142	8747	1	1	WFOU01000225.1_10
GCA_015492145.1	rbcL	12785	14242	1457	50	1507	1	1	WGFQ01000089.1_5
GCA_015492145.1	rbcS	14353	14652	299	1618	1917	1	1	WGFQ01000089.1_6
GCA_015492145.1	PRK	14677	15642	965	1942	2907	1	1	WGFQ01000089.1_7
GCA_015492145.1	transketolase	15629	16588	959	2894	3853	1	1	WGFQ01000089.1_8
GCA_015492145.1	transketolase	14833	15552	719	3953	4672	1	-1	WGFQ01000297.1_14
GCA_015492145.1	fructose-bisphosphate aldolase	13643	14611	968	4894	5862	1	-1	WGFQ01000297.1_13
GCA_015492145.1	fructose-bisphosphatase	12627	13640	1013	5865	6878	1	-1	WGFQ01000297.1_12
GCA_015492145.1	ribulose-phosphate 3-epimerase	11763	12434	671	7071	7742	1	-1	WGFQ01000297.1_11
GCA_015492145.1	transaldolase	2172	2825	653	7842	8495	1	1	WGFQ01000077.1_3
GCA_015490415.1	rbcL	511	1968	1457	50	1507	1	1	WFXW01000420.1_1
GCA_015490415.1	rbcS	2079	2378	299	1618	1917	1	1	WFXW01000420.1_2
GCA_015490415.1	PRK	2403	3368	965	1942	2907	1	1	WFXW01000420.1_3
GCA_015490415.1	transketolase	3355	5433	2078	2894	4972	1	1	WFXW01000420.1_4
GCA_015490415.1	fructose-bisphosphate aldolase	5655	6623	968	5194	6162	1	1	WFXW01000420.1_5
GCA_015490415.1	fructose-bisphosphatase	6626	7639	1013	6165	7178	1	1	WFXW01000420.1_6
GCA_015490415.1	ribulose-phosphate 3-epimerase	7832	8503	671	7371	8042	1	1	WFXW01000420.1_7
GCA_015490415.1	transaldolase	2061	2714	653	8142	8795	1	1	WFXW01000119.1_3
GCA_015491795.1	rbcL	8933	10390	1457	50	1507	1	-1	WFVF01000081.1_10
GCA_015491795.1	rbcS	8523	8822	299	1618	1917	1	-1	WFVF01000081.1_9
GCA_015491795.1	PRK	7533	8498	965	1942	2907	1	-1	WFVF01000081.1_8
GCA_015491795.1	transketolase	5468	7546	2078	2894	4972	1	-1	WFVF01000081.1_7
GCA_015491795.1	fructose-bisphosphate aldolase	4278	5246	968	5194	6162	1	-1	WFVF01000081.1_6
GCA_015491795.1	fructose-bisphosphatase	3262	4275	1013	6165	7178	1	-1	WFVF01000081.1_5
GCA_015491795.1	ribulose-phosphate 3-epimerase	2398	3069	671	7371	8042	1	-1	WFVF01000081.1_4
GCA_015491795.1	transaldolase	13762	14415	653	8142	8795	1	-1	WFVF01000237.1_16
GCA_015493075.1	rbcL	10961	12436	1475	50	1525	1	-1	WGDV01000463.1_11
GCA_015493075.1	rbcS	10621	10935	314	1551	1865	1	-1	WGDV01000463.1_10
GCA_015493075.1	PRK	9646	10593	947	1893	2840	1	-1	WGDV01000463.1_9
GCA_015493075.1	transketolase	7577	9643	2066	2843	4909	1	-1	WGDV01000463.1_8
GCA_015493075.1	fructose-bisphosphate aldolase	6554	7519	965	4967	5932	1	-1	WGDV01000463.1_7
