MAGs	Genome_size	GC	Order
bak_DPZ2_202101_bins_149	4536896	53.71	All
bak_JZ4_201709_bins_45	4110078	51.39	All
bak_JZ4_201709_bins_129	7894986	45.68	All
bak_JZ2_202007_bins_101	3611166	53.41	All
bak_JZ2_201709_bins_23	4842997	62.27	All
bak_JZ2_201705_bins_85	7579817	59.85	All
bak_ZMQR_201803_bins_22	6337027	60.22	All
bak_SRBZ_201705_bins_74	6337027	53.58	All
bak_JZ4_201803_bins_154	4364253	47.62	All
bak_GCA_016783825.1	3324124	37.25	All
bak_GCA_016931935.1	3557591	42.43	All
bak_GCA_016927835.1	4028935	46.01	All
bak_GCA_016926625.1	4912437	44.37	All
bak_GCA_015492895.1	4949332	52.45	All
bak_GCA_014729735.1	4891862	42.84	All
bak_GCA_011774205.1	4553255	46.97	All
bak_GCA_011375275.1	4693264	54.84	All
bak_GCA_011046315.1	5917398	43.28	All
bak_GCA_004356825.1	5025588	44.53	All
bak_GCA_015492145.1	4901846	54.39	All
bak_GCA_015488025.1	4446939	53.84	All
bak_GCA_014359355.1	4847308	61.34	All
bak_GCA_013359425.1	4685342	59.33	All
bak_GCA_011047125.1	6246268	52.83	All
bak_GCA_008501765.1	7159421	43.05	All
bak_GCA_008363195.1	7248468	53.05	All
bak_GCA_016934825.1	6960637	41.75	All
bak_GCA_016929055.1	7045651	52.42	All
bak_GCA_014728115.1	7052599	46	All
bak_GCA_014728085.1	3786951	45.97	All
bak_GCA_013152765.1	3584466	60.26	All
bak_GCA_013152225.1	3488877	44.14	All
bak_GCA_012523655.1	3937874	55.3	All
bak_GCA_011682565.1	4808431	44.39	All
bak_GCA_011389025.1	4200013	62.33	All
bak_GCA_002327255.1	4046472	56.22	All
bak_GCA_001771235.1	6960450	47.72	All
bak_GCA_016929295.1	5189837	50.8	All
bak_GCA_016928775.1	4373136	46.84	All
bak_GCA_016928635.1	4891513	52.6	All
bak_GCA_003818595.1	5391025	48.02	All
DPZ2_202101_bins_149	4536896	53.71	O2
JZ4_201709_bins_45	4110078	51.39	O1
JZ4_201709_bins_129	7894986	45.68	O4
JZ2_202007_bins_101	3611166	53.41	O1
JZ2_201709_bins_23	4842997	62.27	O3
JZ2_201705_bins_85	7579817	59.85	O3
ZMQR_201803_bins_22	6337027	60.22	O1
SRBZ_201705_bins_74	6337027	53.58	O2
JZ4_201803_bins_154	4364253	47.62	O4
GCA_016783825.1	3324124	37.25	O4
GCA_016931935.1	3557591	42.43	O4
GCA_016927835.1	4028935	46.01	O4
GCA_016926625.1	4912437	44.37	O4
GCA_015492895.1	4949332	52.45	O1
GCA_014729735.1	4891862	42.84	O4
GCA_011774205.1	4553255	46.97	O5
GCA_011375275.1	4693264	54.84	O1
GCA_011046315.1	5917398	43.28	O4
GCA_004356825.1	5025588	44.53	O5
GCA_015492145.1	4901846	54.39	O1
GCA_015488025.1	4446939	53.84	O1
GCA_014359355.1	4847308	61.34	O3
GCA_013359425.1	4685342	59.33	O1
GCA_011047125.1	6246268	52.83	O1
GCA_008501765.1	7159421	43.05	O1
GCA_008363195.1	7248468	53.05	O1
GCA_016934825.1	6960637	41.75	O2
GCA_016929055.1	7045651	52.42	O2
GCA_014728115.1	7052599	46	O2
GCA_014728085.1	3786951	45.97	O2
GCA_013152765.1	3584466	60.26	O3
GCA_013152225.1	3488877	44.14	O2
GCA_012523655.1	3937874	55.3	O2
GCA_011682565.1	4808431	44.39	O2
GCA_011389025.1	4200013	62.33	O3
GCA_002327255.1	4046472	56.22	O2
GCA_001771235.1	6960450	47.72	O2
GCA_016929295.1	5189837	50.8	O2
GCA_016928775.1	4373136	46.84	O2
GCA_016928635.1	4891513	52.6	O2
GCA_003818595.1	5391025	48.02	O2
