				F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	O1	O2	O3	O4	O5	C1
				N7	N13	N26	GCA_001771235.1	N34	N35	N38	N43	N50	N52	N53	GCA_016927835.1_self	N56	N57	N12	N24	N37	N47	N55	N22
rbcL	K01601	CBB	K01601	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
rbcS	K01602	CBB	K01602	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
prk	K00855	CBB	K00855	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hyaA	K06282	Ni-Fe group 1d	K06282	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1
hyaB	K06281	Ni-Fe group 1d	K06281	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1
hypF	K04656	hydrogenase formation protein	K04656	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1
hypE	K04655	hydrogenase formation protein	K04655	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1
hypD	K04654	hydrogenase formation protein	K04654	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1
hypA, hybF	K04651	hydrogenase formation protein	K04651	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1
hypB	K04652	hydrogenase formation protein	K04652	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1
hypC	K04653	hydrogenase formation protein	K04653	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1
nosZ	K00376	Nitrogen metabolism	K00376	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1
NuoA	K00330	NADH:quinone oxidoreductase	K00330	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
NuoB	K00331	NADH:quinone oxidoreductase	K00331	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NuoC	K00332	NADH:quinone oxidoreductase	K00332	1	1	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1
