MAGs	gene	start	end	Length	S	E	strand	orientation	contig
GCA_015485525.1	hoxH	2997	4307	1310	50	1360	1	1	WFTM01000470.1_4
GCA_015485525.1	hybD	1895	2410	515	1645	2160	1	1	WFTM01000470.1_3
GCA_015485525.1	fumA	732	1610	878	2229	3107	1	1	WFTM01000470.1_2
GCA_015485525.1	fumB	49	663	614	3156	3770	1	1	WFTM01000470.1_1
GCA_015485525.1	fumA	7397	7498	101	50	151	-1	1	WFTM01000457.1_9
GCA_015485525.1	hydA	5517	6626	1109	922	2031	-1	1	WFTM01000457.1_8
GCA_015485525.1	hydB	3802	5517	1715	2031	3746	-1	1	WFTM01000457.1_7
GCA_015485525.1	hydC	3099	3791	692	3757	4449	-1	1	WFTM01000457.1_6
GCA_015485525.1	hybD	2568	3044	476	4504	4980	-1	1	WFTM01000457.1_5
GCA_015485525.1	hypA	1909	2283	374	5265	5639	-1	1	WFTM01000457.1_4
GCA_015485525.1	protein	1250	1912	662	5636	6298	-1	1	WFTM01000457.1_3
GCA_015485525.1	hypB	323	991	668	6557	7225	-1	1	WFTM01000457.1_2
GCA_015485525.1	hypF	1	309	308	7239	7547	-1	1	WFTM01000457.1_1
GCA_015485525.1	hypF	3753	4076	323	50	373	-1		WFTM01000033.1_6
GCA_015485525.1	protein	2900	3109	209	1017	1226	-1		WFTM01000033.1_5
GCA_015485525.1	protein	2560	2910	350	1216	1566	-1		WFTM01000033.1_4
GCA_015485525.1	hypC	2193	2498	305	1628	1933	-1		WFTM01000033.1_3
GCA_015485525.1	hypD	1081	2196	1115	1930	3045	-1		WFTM01000033.1_2
GCA_015485525.1	hypE	20	1081	1061	3045	4106	-1		WFTM01000033.1_1
GCA_015487885.1	protein	17364	17825	461	50	511	1	1	WFOU01000047.1_17
GCA_015487885.1	protein	17873	18715	842	559	1401	1	1	WFOU01000047.1_18
GCA_015487885.1	HoxY	18758	19540	782	1444	2226	1	1	WFOU01000047.1_19
GCA_015487885.1	HoxH	19527	20837	1310	2213	3523	1	1	WFOU01000047.1_20
GCA_015487885.1	hybD	20960	21697	737	3646	4383	1	1	WFOU01000047.1_21
GCA_015487885.1	fumA	21982	22860	878	4668	5546	1	1	WFOU01000047.1_22
GCA_015487885.1	fumB	22929	23543	614	5615	6229	1	1	WFOU01000047.1_23
GCA_015487885.1	protein	23387	23923	536	6073	6609	-1	1	WFOU01000047.1_24
GCA_015487885.1	hydA	24315	25424	1109	7001	8110	1	1	WFOU01000047.1_25
GCA_015487885.1	hydB	25424	27139	1715	8110	9825	1	1	WFOU01000047.1_26
GCA_015487885.1	hydC	27150	27842	692	9836	10528	1	1	WFOU01000047.1_27
